2020-03-06 11:06:59 method: com.autotest.util.HttpUtil.doRequest(HttpUtil.java:179) - [ INFO ]----接口请求方式【POST】
2020-03-06 11:06:59 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:41) - [ INFO ]----接口请求url【http://localhost:8888/fl/mvc/member/register】
2020-03-06 11:06:59 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:74) - [ INFO ]----接口响应报文：code【200】，result【{"status":"0","code":"20103","message":"参数不正常或不能为空"}】
2020-03-06 11:06:59 method: com.autotest.testcase.BaseCase.test(BaseCase.java:66) - [ INFO ]----调用接口
2020-03-06 11:06:59 method: com.autotest.util.HttpUtil.doRequest(HttpUtil.java:179) - [ INFO ]----接口请求方式【POST】
2020-03-06 11:06:59 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:41) - [ INFO ]----接口请求url【http://localhost:8888/fl/mvc/member/register】
2020-03-06 11:06:59 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:74) - [ INFO ]----接口响应报文：code【200】，result【{"status":"0","code":"20103","message":"参数不正常或不能为空"}】
2020-03-06 11:06:59 method: com.autotest.testcase.BaseCase.test(BaseCase.java:66) - [ INFO ]----调用接口
2020-03-06 11:06:59 method: com.autotest.util.HttpUtil.doRequest(HttpUtil.java:179) - [ INFO ]----接口请求方式【POST】
2020-03-06 11:06:59 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:41) - [ INFO ]----接口请求url【http://localhost:8888/fl/mvc/member/register】
2020-03-06 11:06:59 method: com.autotest.util.HttpUtil.doPost(HttpUtil.java:74) - [ INFO ]----接口响应报文：code【200】，result【{"status":"0","code":"20110","message":"手机号码已被注册"}】
